bloaz,pH_KCl,KA,Ossz_so,CaCO3,Humusz,NO3_N,P2O5,K2O,Mg,Na,Zn,Cu,Mn,SO4,pH_KCl_range,KA_range,Ossz_so_range,CaCO3_range,Humusz_range,NO3_N_range,P2O5_range,K2O_range,Mg_range,Na_range,Zn_range,Cu_range,Mn_range,SO4_range
WCCHKV12,7.2,25,0.02,0.6,0.9,18.4,140.9,140.594765400574,55.01625,25.9726380466007,1.581,1.7114,52.996,5,50%-75%,Low-range,Low-range,50%-75%,Low-range,50%-75%,25%-50%,Low-range,Low-range,25%-50%,50%-75%,25%-50%,25%-50%,Low-range
E643KN15,7.1,50,0.03,4.3,2.5,27,1062.9,721.1,242.9,46.6,1.2,2.8,16.9,5,50%-75%,Upper-range,50%-75%,Upper-range,50%-75%,Upper-range,Upper-range,Upper-range,25%-50%,Upper-range,25%-50%,50%-75%,Low-range,Low-range
DC626D13,7.5,34,0.02,2.6,1.3,9.8,159.8,114.2,86.8,18.1,0.8,1.2,10.4,5,Upper-range,Low-range,Low-range,50%-75%,Low-range,Low-range,50%-75%,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range
Q6JARR13,7.2,44,0.02,1,2.7,11.1,182.2,292.3,165.1,18.4,0.9,2.2,70.7,5,50%-75%,25%-50%,Low-range,50%-75%,Upper-range,Low-range,50%-75%,50%-75%,25%-50%,Low-range,Low-range,25%-50%,25%-50%,Low-range
U7X84M14,7.02,50,0.08,0.1,3.46,26.3,111,350.17,360.2,34.68,1.762,3.09,385.5,5,50%-75%,Upper-range,Upper-range,Low-range,Upper-range,Upper-range,25%-50%,Upper-range,50%-75%,50%-75%,Upper-range,50%-75%,Upper-range,Low-range
HC3X6C15,7.5,38,0.02,8.2,2.4,12.1,285.9,315.4,235.4,49.3,1.6,1,14.5,5,Upper-range,Low-range,Low-range,Upper-range,50%-75%,25%-50%,Upper-range,Upper-range,25%-50%,Upper-range,50%-75%,Low-range,Low-range,Low-range
E67PF915,5.4,64,0.05,0.2,2,16.2,123.4,281.5,1261.9,83.2,2,21.7,124.8,5,Low-range,Upper-range,Upper-range,Low-range,25%-50%,50%-75%,25%-50%,50%-75%,Upper-range,Upper-range,Upper-range,Upper-range,50%-75%,Low-range
D7T50R13,4.3,44,0.02,0.2,1.1,2,19.4,177.8,392.7,42.4,0.7,2.7,103.7,5,Low-range,25%-50%,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Upper-range,50%-75%,Low-range,50%-75%,50%-75%,Low-range
E30HQ115,7.2,50,0.02,1.6,3.4,8.2,363.4,621,266.9,50.4,1.5,2.3,41.6,5,50%-75%,Upper-range,Low-range,50%-75%,Upper-range,Low-range,Upper-range,Upper-range,25%-50%,Upper-range,50%-75%,25%-50%,25%-50%,Low-range
LMJCFV15,4.8,28,0.02,0.2,0.5,2,47.8,192.90488,49.595,23.823078,1.0398,0.7428,48.584,5,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,25%-50%,25%-50%,Low-range,25%-50%,Low-range
D2XVN513,7.3,40,0.02,4.4,1.9,17.9,147.5,179.8,130.1,15.2,0.6,1.4,29.5,5,50%-75%,Low-range,Low-range,Upper-range,25%-50%,50%-75%,50%-75%,25%-50%,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range
RM2NDP12,5,31,0.02,0.2,1,9.1,56.2,169.1,114.5,23.8,1.4,1.3,174.1,5,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,25%-50%,50%-75%,Low-range,Upper-range,Low-range
W3YADV12,7.2,25,0.02,0.6,0.9,18.4,140.9,140.594765400574,55.01625,25.9726380466007,1.581,1.7114,52.996,5,50%-75%,Low-range,Low-range,50%-75%,Low-range,50%-75%,25%-50%,Low-range,Low-range,25%-50%,50%-75%,25%-50%,25%-50%,Low-range
UJA83914,7.07,50,0.07,1.03,3.21,20,73,320,294,50,1.48,2.51,179,5,50%-75%,Upper-range,Upper-range,50%-75%,Upper-range,50%-75%,Low-range,Upper-range,50%-75%,Upper-range,50%-75%,50%-75%,Upper-range,Low-range
VUUHHR13,7.4,46,0.02,3.1,2.3,18.9,137.3,225.6,158.6,28,0.6,1.2,13.6,5,Upper-range,25%-50%,Low-range,Upper-range,50%-75%,50%-75%,25%-50%,50%-75%,25%-50%,25%-50%,Low-range,Low-range,Low-range,Low-range
Y27LJK12,5,31,0.02,0.2,1,9.1,56.2,169.1,114.5,23.8,1.4,1.3,174.1,5,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,25%-50%,50%-75%,Low-range,Upper-range,Low-range
NJRNMH13,7.49,36,0.02,5.33,2.3573,11.8,72.09,216.0565,78.96,32.4,0.597,1.841,28.42,50.1,Upper-range,Low-range,Low-range,Upper-range,50%-75%,25%-50%,Low-range,25%-50%,Low-range,50%-75%,Low-range,25%-50%,Low-range,Upper-range
LXKMHJ15,4.8,28,0.02,0.2,0.5,2,47.8,192.90488,49.595,23.823078,1.0398,0.7428,48.584,5,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,25%-50%,25%-50%,Low-range,25%-50%,Low-range
HP7DLP15,7.5,38,0.02,8.2,2.4,12.1,285.9,315.4,235.4,49.3,1.6,1,14.5,5,Upper-range,Low-range,Low-range,Upper-range,50%-75%,25%-50%,Upper-range,Upper-range,25%-50%,Upper-range,50%-75%,Low-range,Low-range,Low-range
R5HVJ112,6.8,42,0.02,0.2,1.3,5.7,41.8,140.1,241.7,15.3,0.8,3,246.8,5,25%-50%,25%-50%,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,Low-range,50%-75%,Upper-range,Low-range
Q190KT13,7.5,40,0.02,12.9,1.7,20.8,217.7,171,116.7,15.5,0.6,1.2,8.5,5,Upper-range,Low-range,Low-range,Upper-range,25%-50%,50%-75%,50%-75%,25%-50%,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range
H0R00H15,7.23,46,0.06,2.96,3.26,16.01,284,390.42,196.7,38.25,1.651,2.927,46.52,6.775,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,50%-75%,25%-50%,50%-75%
D7ECH413,4.3,44,0.02,0.2,1.1,2,19.4,177.8,392.7,42.4,0.7,2.7,103.7,5,Low-range,25%-50%,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Upper-range,50%-75%,Low-range,50%-75%,50%-75%,Low-range
KXAFEW12,7,58,0.02,2.6,2.9,7.2,267.7,209.9,314.1,59.2,1.2,4.3,23.9,5,50%-75%,Upper-range,Low-range,50%-75%,Upper-range,Low-range,Upper-range,25%-50%,50%-75%,Upper-range,25%-50%,Upper-range,Low-range,Low-range
KR38E912,7.2,59,0.03,14.8,2.3,22.8,383.9,260.4,335.5,46.5,1.7,5,19.7,5,50%-75%,Upper-range,50%-75%,Upper-range,50%-75%,50%-75%,Upper-range,50%-75%,50%-75%,Upper-range,50%-75%,Upper-range,Low-range,Low-range
JYCJM813,7.5,42,0.02,1.6,2.4,21.8,305.3,402.1,131.8,34.5,3.1,1.4,9.7,5,Upper-range,25%-50%,Low-range,50%-75%,50%-75%,50%-75%,Upper-range,Upper-range,Low-range,50%-75%,Upper-range,Low-range,Low-range,Low-range
N298K213,7.6,33,0.02,0.5,1.2,4.3,121.96735611,347.06504,86.275,41.255284,1.0138,1.6826,61.692,5,Upper-range,Low-range,Low-range,50%-75%,Low-range,Low-range,25%-50%,Upper-range,Low-range,50%-75%,25%-50%,Low-range,25%-50%,Low-range
T10YQT15,4.8,28,0.02,0.2,0.5,2,47.8,192.90488,49.595,23.823078,1.0398,0.7428,48.584,5,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,25%-50%,25%-50%,Low-range,25%-50%,Low-range
LHJ8TY15,7.4,34,0.02,0.2,0.9,4.8,56.4,147.412944,191.35375,31.247386,0.913,1.9872,120.129,5,Upper-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,50%-75%,Low-range,25%-50%,50%-75%,Low-range
LT5MEW15,4.8,28,0.02,0.2,0.5,2,47.8,192.90488,49.595,23.823078,1.0398,0.7428,48.584,5,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,25%-50%,25%-50%,Low-range,25%-50%,Low-range
LCYM0U15,6.7,43,0.03,0.2,2.4,29.8,40.6,189.6,291.8,19,0.9,3.3,414.7,5,25%-50%,25%-50%,50%-75%,Low-range,50%-75%,Upper-range,Low-range,25%-50%,50%-75%,Low-range,Low-range,50%-75%,Upper-range,Low-range
X4RJ2L12,7.2,40,0.03,2.5,2.1,17,119,179.305635041164,358.1375,48.1810107105747,0.834,2.2074,31.998,5,50%-75%,Low-range,50%-75%,50%-75%,50%-75%,50%-75%,25%-50%,25%-50%,50%-75%,Upper-range,Low-range,25%-50%,Low-range,Low-range
N9TQC313,7.5,43,0.02,2.6,2.5,7,150.5,217.076384,60.22625,15.557752,3.0224,0.8298,5.331,5,Upper-range,25%-50%,Low-range,50%-75%,50%-75%,Low-range,50%-75%,25%-50%,Low-range,Low-range,Upper-range,Low-range,Low-range,Low-range
ELR57F15,6.47,46,0.05,0.1,1.91,3.8,76,243,187,74.7,3.2,8.1,166,16.5,25%-50%,25%-50%,Upper-range,Low-range,25%-50%,Low-range,Low-range,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range
F2JMTR15,5.6,60,0.03,0.2,2.4,20.8,122.2,216.8,408.6,15.7,4.5,7.3,423,5,Low-range,Upper-range,50%-75%,Low-range,50%-75%,50%-75%,25%-50%,25%-50%,Upper-range,Low-range,Upper-range,Upper-range,Upper-range,Low-range
QEETRD13,7.5,43,0.02,1.3,3,15,537.24062097,524.640592,234.15,47.80182,1.2252,1.1702,37.7266,5,Upper-range,25%-50%,Low-range,50%-75%,Upper-range,25%-50%,Upper-range,Upper-range,25%-50%,Upper-range,25%-50%,Low-range,25%-50%,Low-range
YX8TEL12,5,31,0.02,0.2,1,9.1,56.2,169.1,114.5,23.8,1.4,1.3,174.1,5,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,25%-50%,50%-75%,Low-range,Upper-range,Low-range
J2304Y13,7,32,0.02,0.3,2.1,11.1,126.7,231.6,168.5,16.1,0.7,2.5,193.1,5,50%-75%,Low-range,Low-range,50%-75%,50%-75%,Low-range,25%-50%,50%-75%,25%-50%,Low-range,Low-range,50%-75%,Upper-range,Low-range
QFW0CN13,7.5,40,0.02,12.9,1.7,20.8,217.7,171,116.7,15.5,0.6,1.2,8.5,5,Upper-range,Low-range,Low-range,Upper-range,25%-50%,50%-75%,50%-75%,25%-50%,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range
L04E6L15,6.7,43,0.03,0.2,2.4,29.8,40.6,189.6,291.8,19,0.9,3.3,414.7,5,25%-50%,25%-50%,50%-75%,Low-range,50%-75%,Upper-range,Low-range,25%-50%,50%-75%,Low-range,Low-range,50%-75%,Upper-range,Low-range
FNWJ6215,4.1,43,0.03,0.2,2.3,34.1,43.7,210.8,563.9,17.3,1.6,3.7,266.2,5,Low-range,25%-50%,50%-75%,Low-range,50%-75%,Upper-range,Low-range,25%-50%,Upper-range,Low-range,50%-75%,50%-75%,Upper-range,Low-range
XQ1LP612,7.8,32,0.02,7.7,1.2,5.5,374.12139684,345.321648,41.77125,31.75978,1.2414,0.9562,8.6758,5,Upper-range,Low-range,Low-range,Upper-range,Low-range,Low-range,Upper-range,Upper-range,Low-range,50%-75%,25%-50%,Low-range,Low-range,Low-range
QRCE7R14,7.2,50,0.04,5.4,2.5,54.1,985.2,676.8,279.3,46.7,1.8,1.5,20.7,5,50%-75%,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range,Upper-range,Low-range,Low-range,Low-range
P2WE1C14,5.2,47,0.04,0.2,2.8,37.3,75.8,257.2,585.5,33.3,1.3,2.7,180.2,5,Low-range,50%-75%,Upper-range,Low-range,Upper-range,Upper-range,Low-range,50%-75%,Upper-range,50%-75%,25%-50%,50%-75%,Upper-range,Low-range
D918DK13,7.2,55,0.02,14.7,1.9,26.7,189.9,147,275.1,30,1.7,6.1,40.5,5,50%-75%,Upper-range,Low-range,Upper-range,25%-50%,Upper-range,50%-75%,Low-range,25%-50%,25%-50%,50%-75%,Upper-range,25%-50%,Low-range
H0C48H15,7.5,38,0.02,8.2,2.4,12.1,285.9,315.4,235.4,49.3,1.6,1,14.5,5,Upper-range,Low-range,Low-range,Upper-range,50%-75%,25%-50%,Upper-range,Upper-range,25%-50%,Upper-range,50%-75%,Low-range,Low-range,Low-range
C02DAA13,4.3,42,0.02,0.2,1,8.3,110.7,154.4,291.3,24.5,0.6,3.1,212,5,Low-range,25%-50%,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,50%-75%,25%-50%,Low-range,50%-75%,Upper-range,Low-range
E2Q41M15,6,56,0.04,0.2,2.3,10.8,44.9,263.4,1083,60.8,2.4,10.6,126,10.2,25%-50%,Upper-range,Upper-range,Low-range,50%-75%,Low-range,Low-range,50%-75%,Upper-range,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range
K0YNET12,7.2,59,0.03,14.8,2.3,22.8,383.9,260.4,335.5,46.5,1.7,5,19.7,5,50%-75%,Upper-range,50%-75%,Upper-range,50%-75%,50%-75%,Upper-range,50%-75%,50%-75%,Upper-range,50%-75%,Upper-range,Low-range,Low-range
YE1JEK12,5,31,0.02,0.2,1,9.1,56.2,169.1,114.5,23.8,1.4,1.3,174.1,5,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,25%-50%,50%-75%,Low-range,Upper-range,Low-range
R5NHNX12,5.7,46,0.02,0.1,1.42,11.4,251,122,384,23.6,1,1.7,87,7.5,Low-range,25%-50%,Low-range,Low-range,Low-range,Low-range,50%-75%,Low-range,50%-75%,Low-range,Low-range,25%-50%,25%-50%,50%-75%
HNVQ8A15,7.5,38,0.02,8.2,2.4,12.1,285.9,315.4,235.4,49.3,1.6,1,14.5,5,Upper-range,Low-range,Low-range,Upper-range,50%-75%,25%-50%,Upper-range,Upper-range,25%-50%,Upper-range,50%-75%,Low-range,Low-range,Low-range
XHK67L12,5.7,25,0.02,0.2,0.8,24.2,538,214.015115398414,30.42,33.2676705066369,19.382,4.0762,25.844,8.3,Low-range,Low-range,Low-range,Low-range,Low-range,Upper-range,Upper-range,25%-50%,Low-range,50%-75%,Upper-range,Upper-range,Low-range,Upper-range
NXDQ8713,7.5,43,0.02,2.6,2.5,7,150.5,217.076384,60.22625,15.557752,3.0224,0.8298,5.331,5,Upper-range,25%-50%,Low-range,50%-75%,50%-75%,Low-range,50%-75%,25%-50%,Low-range,Low-range,Upper-range,Low-range,Low-range,Low-range
WTCF5V12,7.5,40,0.03,10.2,3.2,36.9,304.5,398.4,252.7,53,1.4,1.4,16.3,8.4,Upper-range,Low-range,50%-75%,Upper-range,Upper-range,Upper-range,Upper-range,Upper-range,25%-50%,Upper-range,50%-75%,Low-range,Low-range,Upper-range
Y8R6HV12,5,31,0.02,0.2,1,9.1,56.2,169.1,114.5,23.8,1.4,1.3,174.1,5,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,25%-50%,50%-75%,Low-range,Upper-range,Low-range
J3903613,7.9,37,0.02,2.3,2.5,3,206,298,699.5,116.3,2.4,1.4,26.9,5,Upper-range,Low-range,Low-range,50%-75%,50%-75%,Low-range,50%-75%,50%-75%,Upper-range,Upper-range,Upper-range,Low-range,Low-range,Low-range
Y2WHWJ12,5,31,0.02,0.2,1,9.1,56.2,169.1,114.5,23.8,1.4,1.3,174.1,5,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,25%-50%,50%-75%,Low-range,Upper-range,Low-range
D28F7L13,7.5,34,0.02,2.6,1.3,9.8,159.8,114.2,86.8,18.1,0.8,1.2,10.4,5,Upper-range,Low-range,Low-range,50%-75%,Low-range,Low-range,50%-75%,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range
DAPWVE13,7.4,37,0.02,3.3,2.4,6.9,348.9,334.8,229.9,42.3,1.7,1.5,32.6,5,Upper-range,Low-range,Low-range,Upper-range,50%-75%,Low-range,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,Low-range,Low-range,Low-range
QVX3JD13,5.2,47,0.04,0.2,2.8,37.3,75.8,257.2,585.5,33.3,1.3,2.7,180.2,5,Low-range,50%-75%,Upper-range,Low-range,Upper-range,Upper-range,Low-range,50%-75%,Upper-range,50%-75%,25%-50%,50%-75%,Upper-range,Low-range
WYJ4K912,7.5,40,0.03,10.2,3.2,36.9,304.5,398.4,252.7,53,1.4,1.4,16.3,8.4,Upper-range,Low-range,50%-75%,Upper-range,Upper-range,Upper-range,Upper-range,Upper-range,25%-50%,Upper-range,50%-75%,Low-range,Low-range,Upper-range
DC3RHA13,7.3,40,0.02,4.4,1.9,17.9,147.5,179.8,130.1,15.2,0.6,1.4,29.5,5,50%-75%,Low-range,Low-range,Upper-range,25%-50%,50%-75%,50%-75%,25%-50%,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range
YCY6E412,5,31,0.02,0.2,1,9.1,56.2,169.1,114.5,23.8,1.4,1.3,174.1,5,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,25%-50%,50%-75%,Low-range,Upper-range,Low-range
KD1WUW12,7.5,28,0.02,0.2,0.8,17.8,206.2,143.6,75.2,29.3,3.5,1.6,119.3,5,Upper-range,Low-range,Low-range,Low-range,Low-range,50%-75%,50%-75%,Low-range,Low-range,25%-50%,Upper-range,Low-range,50%-75%,Low-range
LL2LQV15,4.8,28,0.02,0.2,0.5,2,47.8,192.90488,49.595,23.823078,1.0398,0.7428,48.584,5,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,25%-50%,25%-50%,Low-range,25%-50%,Low-range
YY564L12,7.2,25,0.02,0.6,0.9,18.4,140.9,140.594765400574,55.01625,25.9726380466007,1.581,1.7114,52.996,5,50%-75%,Low-range,Low-range,50%-75%,Low-range,50%-75%,25%-50%,Low-range,Low-range,25%-50%,50%-75%,25%-50%,25%-50%,Low-range
JNJ1HF13,7.47,43,0.065,3.72,2.09,41.39,188.8,298.24,154,42.77,0.944,1.64,45.05,5.69,Upper-range,25%-50%,Upper-range,Upper-range,50%-75%,Upper-range,50%-75%,50%-75%,25%-50%,Upper-range,Low-range,Low-range,25%-50%,50%-75%
Q7P0D813,7.5,43,0.02,1.3,3,15,537.24062097,524.640592,234.15,47.80182,1.2252,1.1702,37.7266,5,Upper-range,25%-50%,Low-range,50%-75%,Upper-range,25%-50%,Upper-range,Upper-range,25%-50%,Upper-range,25%-50%,Low-range,25%-50%,Low-range
M94RTV14,6.9,48,0.06,3.6,1.8,42.6,236.2,235.4,300.4,86.1,0.7,1.1,18.2,11.6,25%-50%,50%-75%,Upper-range,Upper-range,25%-50%,Upper-range,50%-75%,50%-75%,50%-75%,Upper-range,Low-range,Low-range,Low-range,Upper-range
XLKJ1U12,7.2,40,0.03,2.5,2.1,17,119,179.305635041164,358.1375,48.1810107105747,0.834,2.2074,31.998,5,50%-75%,Low-range,50%-75%,50%-75%,50%-75%,50%-75%,25%-50%,25%-50%,50%-75%,Upper-range,Low-range,25%-50%,Low-range,Low-range
D9T26X13,7.2,55,0.02,14.7,1.9,26.7,189.9,147,275.1,30,1.7,6.1,40.5,5,50%-75%,Upper-range,Low-range,Upper-range,25%-50%,Upper-range,50%-75%,Low-range,25%-50%,25%-50%,50%-75%,Upper-range,25%-50%,Low-range
LETUED15,4.8,28,0.02,0.2,0.5,2,47.8,192.90488,49.595,23.823078,1.0398,0.7428,48.584,5,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,25%-50%,25%-50%,Low-range,25%-50%,Low-range
D7QV6M13,7.2,55,0.02,14.7,1.9,26.7,189.9,147,275.1,30,1.7,6.1,40.5,5,50%-75%,Upper-range,Low-range,Upper-range,25%-50%,Upper-range,50%-75%,Low-range,25%-50%,25%-50%,50%-75%,Upper-range,25%-50%,Low-range
D74Y0W13,7.4,46,0.02,3.1,2.3,18.9,137.3,225.6,158.6,28,0.6,1.2,13.6,5,Upper-range,25%-50%,Low-range,Upper-range,50%-75%,50%-75%,25%-50%,50%-75%,25%-50%,25%-50%,Low-range,Low-range,Low-range,Low-range
J0YJPX13,7.5,42,0.02,1.6,2.4,21.8,305.3,402.1,131.8,34.5,3.1,1.4,9.7,5,Upper-range,25%-50%,Low-range,50%-75%,50%-75%,50%-75%,Upper-range,Upper-range,Low-range,50%-75%,Upper-range,Low-range,Low-range,Low-range
W0A4R912,7.2,25,0.02,0.6,0.9,18.4,140.9,140.594765400574,55.01625,25.9726380466007,1.581,1.7114,52.996,5,50%-75%,Low-range,Low-range,50%-75%,Low-range,50%-75%,25%-50%,Low-range,Low-range,25%-50%,50%-75%,25%-50%,25%-50%,Low-range
QWHC0Q14,7.4,52,0.06,0.9,2.8,12.9,118.2,255.3,332.2,1650,1.1,3.4,57.9,31.9,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range,25%-50%,25%-50%,50%-75%,50%-75%,Upper-range,25%-50%,50%-75%,25%-50%,Upper-range
QEJ6KN13,7.5,40,0.02,12.9,1.7,20.8,217.7,171,116.7,15.5,0.6,1.2,8.5,5,Upper-range,Low-range,Low-range,Upper-range,25%-50%,50%-75%,50%-75%,25%-50%,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range
DJPN6P13,7.5,34,0.02,2.6,1.3,9.8,159.8,114.2,86.8,18.1,0.8,1.2,10.4,5,Upper-range,Low-range,Low-range,50%-75%,Low-range,Low-range,50%-75%,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range
Q4LWE113,5.2,47,0.04,0.2,2.8,37.3,75.8,257.2,585.5,33.3,1.3,2.7,180.2,5,Low-range,50%-75%,Upper-range,Low-range,Upper-range,Upper-range,Low-range,50%-75%,Upper-range,50%-75%,25%-50%,50%-75%,Upper-range,Low-range
DJ3ND913,7.5,34,0.02,2.6,1.3,9.8,159.8,114.2,86.8,18.1,0.8,1.2,10.4,5,Upper-range,Low-range,Low-range,50%-75%,Low-range,Low-range,50%-75%,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range
QM95MN13,7.5,40,0.03,6.7,2,22.8,558.62946792,233.662688,522.925,112.106186,1.9526,0.9942,5.95,11.3,Upper-range,Low-range,50%-75%,Upper-range,25%-50%,50%-75%,Upper-range,50%-75%,Upper-range,Upper-range,Upper-range,Low-range,Low-range,Upper-range
WTRAFF12,7.2,25,0.02,0.6,0.9,18.4,140.9,140.594765400574,55.01625,25.9726380466007,1.581,1.7114,52.996,5,50%-75%,Low-range,Low-range,50%-75%,Low-range,50%-75%,25%-50%,Low-range,Low-range,25%-50%,50%-75%,25%-50%,25%-50%,Low-range
TA9KCM15,6.5,45,0.02,0.2,2,12.6,98.1,280.1,228,16.2,1.3,3.9,426.1,5,25%-50%,25%-50%,Low-range,Low-range,25%-50%,25%-50%,25%-50%,50%-75%,25%-50%,Low-range,25%-50%,Upper-range,Upper-range,Low-range
QD908V13,7.5,40,0.02,12.9,1.7,20.8,217.7,171,116.7,15.5,0.6,1.2,8.5,5,Upper-range,Low-range,Low-range,Upper-range,25%-50%,50%-75%,50%-75%,25%-50%,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range
QYX6Y314,7.5,43,0.02,1.3,3,15,537.24062097,524.640592,234.15,47.80182,1.2252,1.1702,37.7266,5,Upper-range,25%-50%,Low-range,50%-75%,Upper-range,25%-50%,Upper-range,Upper-range,25%-50%,Upper-range,25%-50%,Low-range,25%-50%,Low-range
WK3YRH12,7.2,25,0.02,0.6,0.9,18.4,140.9,140.594765400574,55.01625,25.9726380466007,1.581,1.7114,52.996,5,50%-75%,Low-range,Low-range,50%-75%,Low-range,50%-75%,25%-50%,Low-range,Low-range,25%-50%,50%-75%,25%-50%,25%-50%,Low-range
U9Q7JV14,6.9,52,0.04,0.2,2.6,12.7,268.6,419.4,457.4,42.6,1.4,2.6,145.1,8.8,25%-50%,Upper-range,Upper-range,Low-range,Upper-range,25%-50%,Upper-range,Upper-range,Upper-range,Upper-range,50%-75%,50%-75%,50%-75%,Upper-range
L64E8V15,6.5,44,0.02,0.2,2.5,31.7,39.5,216.9,300.6,17.9,0.8,3.7,420.7,5,25%-50%,25%-50%,Low-range,Low-range,50%-75%,Upper-range,Low-range,25%-50%,50%-75%,Low-range,Low-range,50%-75%,Upper-range,Low-range
XV342812,7.2,40,0.03,2.5,2.1,17,119,179.305635041164,358.1375,48.1810107105747,0.834,2.2074,31.998,5,50%-75%,Low-range,50%-75%,50%-75%,50%-75%,50%-75%,25%-50%,25%-50%,50%-75%,Upper-range,Low-range,25%-50%,Low-range,Low-range
N60Q3V13,4.9,26,0.02,0.2,0.9,17.1,44.3,128.8,85.3,32.6,0.9,1.2,109.2,5,Low-range,Low-range,Low-range,Low-range,Low-range,50%-75%,Low-range,Low-range,Low-range,50%-75%,Low-range,Low-range,50%-75%,Low-range
KAMWUF12,7.5,28,0.02,0.2,0.8,17.8,206.2,143.6,75.2,29.3,3.5,1.6,119.3,5,Upper-range,Low-range,Low-range,Low-range,Low-range,50%-75%,50%-75%,Low-range,Low-range,25%-50%,Upper-range,Low-range,50%-75%,Low-range
YC40CY12,5,31,0.02,0.2,1,9.1,56.2,169.1,114.5,23.8,1.4,1.3,174.1,5,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,25%-50%,50%-75%,Low-range,Upper-range,Low-range
N7H4C313,7.5,43,0.02,2.6,2.5,7,150.5,217.076384,60.22625,15.557752,3.0224,0.8298,5.331,5,Upper-range,25%-50%,Low-range,50%-75%,50%-75%,Low-range,50%-75%,25%-50%,Low-range,Low-range,Upper-range,Low-range,Low-range,Low-range
L56XQW15,4.89,61.2,0.03,0.2,4.28599132723781,8.7009062908084,141.123584289469,293.231792,1061.5,42.464,5.0402,11.3842,53.1798,8.6,Low-range,Upper-range,50%-75%,Low-range,Upper-range,Low-range,25%-50%,50%-75%,Upper-range,50%-75%,Upper-range,Upper-range,25%-50%,Upper-range
JR0L0313,7.4,46,0.02,0.9,2.5,5.6,130.5,237.4,147.3,36,0.7,1.8,39.5,5,Upper-range,25%-50%,Low-range,50%-75%,50%-75%,Low-range,25%-50%,50%-75%,Low-range,50%-75%,Low-range,25%-50%,25%-50%,Low-range
EC0C4J15,7.3,46,0.03,0.8,2.7,9,184.6,368.1,233.6,61.2,0.8,2.6,77.1,5,50%-75%,25%-50%,50%-75%,50%-75%,Upper-range,Low-range,50%-75%,Upper-range,25%-50%,Upper-range,Low-range,50%-75%,25%-50%,Low-range
C9M7K913,5.5,47,0.02,0.2,1.4,26.6,132.5,271.034848,181.49,30.10585,3.7,3.7506,299.895,6.4,Low-range,50%-75%,Low-range,Low-range,Low-range,Upper-range,25%-50%,50%-75%,25%-50%,50%-75%,Upper-range,Upper-range,Upper-range,50%-75%
X1YJ1N12,7,38,0.02,0.7,1.7,6.3,250.1,193.484878516624,187.61875,20.1024356617647,1.4344,2.3498,55.485,5,50%-75%,Low-range,Low-range,50%-75%,25%-50%,Low-range,50%-75%,25%-50%,25%-50%,Low-range,50%-75%,25%-50%,25%-50%,Low-range
